,ra,dec,w1mpro,w1sigmpro,w1mpro2,w2sigmpro,mjd,qual_frame
1,1.5348817,-59.0874938,14.151,0.055,14.151,0.111,57161.72547885,10
3,1.5348566,-59.0874781,14.039,0.049,14.039,0.09,57162.25049291,10
4,1.5348708,-59.0874614,14.072,0.052,14.072,0.074,57161.59432081,10
5,1.5346444,-59.0874714,14.04,0.048,14.04,0.074,57161.2661712,10
6,1.5348592,-59.0875053,13.982,0.052,13.982,0.072,57161.98804961,10
7,1.5348247,-59.0874882,13.976,0.047,13.976,0.079,57161.5286145,10
8,1.534796,-59.0874758,14.019,0.048,14.019,0.077,57161.3974565,10
9,1.5348333,-59.0875203,14.044,0.048,14.044,0.104,57160.8724425,10
10,1.5348367,-59.0875582,14.132,0.084,14.132,0.08,57161.8567642,10
12,1.5347273,-59.0874934,14.132,0.052,14.132,0.101,57161.79118516,10
14,1.5349892,-59.0875037,14.264,0.063,14.264,0.102,57696.27309321,10
15,1.5348676,-59.0874301,14.241,0.074,14.241,0.173,57696.07661013,10
20,1.5347857,-59.08747,14.182,0.066,14.182,0.084,57696.92824897,10
22,1.5348653,-59.0875952,14.244,0.082,14.244,0.151,57696.20764127,10
23,1.5348143,-59.0876081,14.394,0.064,14.394,0.129,57696.66618663,10
24,1.5347807,-59.0875521,14.3,0.066,14.3,0.083,57696.79721778,10
26,1.5348832,-59.0875845,14.272,0.057,14.272,0.11,57697.19018389,10
27,1.5346871,-59.0875908,14.232,0.059,14.232,0.092,57696.73163856,10
28,1.5347456,-59.0874965,14.322,0.059,14.322,0.105,57696.33867247,10
29,1.5347571,-59.0874808,14.412,0.067,14.412,0.17,57696.53515549,10
30,1.5347634,-59.087492,14.242,0.071,14.242,0.089,57696.6007347,10
32,1.5350808,-59.0875499,14.255,0.076,14.255,0.094,58256.22648464,10
33,1.5350181,-59.0875412,14.274,0.058,14.274,0.126,58256.35726066,10
34,1.5350537,-59.0875252,14.367,0.061,14.367,0.084,58256.68451917,10
35,1.5350262,-59.0875256,14.484,0.064,14.484,0.085,58257.27345728,10
36,1.5349253,-59.087505,14.312,0.059,14.312,0.093,58256.81542265,10
37,1.5350329,-59.0874848,14.401,0.069,14.401,0.084,58256.94619872,10
38,1.5349903,-59.087518,14.409,0.086,14.409,0.104,58257.60058899,10
40,1.5348494,-59.0874355,14.359,0.079,14.359,0.158,58257.33890897,10
41,1.5349082,-59.0874273,14.35,0.061,14.35,0.128,58256.61906748,10
42,1.5348217,-59.0875277,14.299,0.077,14.299,0.102,58256.22635728,10
44,1.5348808,-59.087593,14.371,0.073,14.371,0.084,58256.88074698,10
45,1.5347771,-59.0876206,14.273,0.066,14.273,0.103,58257.01165046,10
47,1.5346305,-59.0875221,14.317,0.058,14.317,0.086,58256.74997091,10
53,1.5348531,-59.087569,14.052,0.049,14.052,0.09,59151.64672205,10
56,1.5347658,-59.0876011,13.964,0.058,13.964,0.074,59151.97372574,10
57,1.5347174,-59.0874832,14.148,0.058,14.148,0.11,59151.58127041,10
61,1.5347056,-59.0876644,14.084,0.057,14.084,0.089,59151.12361755,10
69,1.5347635,-59.087462,13.933,0.048,13.933,0.079,58060.21101167,10
75,1.5348707,-59.0875407,13.947,0.05,13.947,0.102,58059.36001148,10
77,1.5347407,-59.0875271,13.941,0.048,13.941,0.092,58059.94920429,10
80,1.534961,-59.0874912,14.087,0.051,14.087,0.073,56978.61795091,10
81,1.5349792,-59.0875627,14.084,0.056,14.084,0.075,56978.48641073,10
83,1.534827,-59.0875155,14.171,0.053,14.171,0.076,56979.01231688,10
85,1.5348156,-59.0875042,14.082,0.051,14.082,0.083,56977.76338522,10
88,1.5349458,-59.0875295,14.044,0.051,14.044,0.094,56978.15775119,10
89,1.5348573,-59.0875087,14.173,0.057,14.173,0.101,56978.74936377,10
94,1.5348963,-59.0875709,14.194,0.07,14.194,0.086,56978.5522445,10
96,1.5346936,-59.0874777,14.12,0.088,14.12,0.085,56978.02621101,10
97,1.5347253,-59.0875268,14.108,0.054,14.108,0.078,56977.50043208,10
98,1.5345965,-59.0875133,13.998,0.052,13.998,0.066,56978.55211714,10
103,1.5345984,-59.0874166,13.923,0.052,13.923,0.082,56796.7312335,10
106,1.5347549,-59.0875771,14.078,0.052,14.078,0.085,56796.20481938,10
109,1.5347292,-59.0875186,14.006,0.067,14.006,0.083,56796.79706716,10
110,1.5347291,-59.0874726,13.978,0.052,13.978,0.081,56796.86277341,10
111,1.5346984,-59.0875373,13.994,0.051,13.994,0.109,56796.33635926,10
113,1.5346406,-59.0875153,14.206,0.057,14.206,0.08,56797.12598057,10
114,1.5347474,-59.0875396,14.01,0.047,14.01,0.07,56797.32348147,10
115,1.5349668,-59.0876261,14.045,0.06,14.045,0.101,56797.06027427,10
116,1.5350077,-59.0875513,13.967,0.07,13.967,0.085,57892.92560153,10
