ra,dec,source_id,w1mpro,w1sigmpro,qual_frame,mjd,dist,angle
28.5905048,-59.7457099,94020a214-000085,11.742,0.020,10,58273.30695442,0.008693,87.632215
28.5904951,-59.7457124,82853b241-000095,11.905,0.020,10,57907.85495612,0.012294,225.809687
28.5904929,-59.7457096,11413r016-000082,11.760,0.023,10,58803.00183148,0.013040,276.380171
28.5905084,-59.7457086,82877b242-000088,11.699,0.021,10,57908.64063143,0.015971,71.696112
28.5904960,-59.7457048,49548a226-000086,11.739,0.021,10,56815.48603403,0.020155,338.815250
28.5905050,-59.7457050,82869b241-000087,11.698,0.020,10,57908.37869685,0.020155,26.740736
28.5904992,-59.7457156,94122a238-000071,11.763,0.022,10,58276.64473710,0.020155,184.116875
28.5904941,-59.7457151,06426r238-000072,11.720,0.020,10,58639.91368229,0.021294,210.236714
28.5904878,-59.7457106,88265a023-000076,11.713,0.019,10,58084.95406616,0.022164,264.424943
28.5905041,-59.7457040,66021a026-000096,11.744,0.020,10,57356.43315389,0.022794,18.998064
28.5905120,-59.7457075,66001a026-000090,11.721,0.018,10,57355.77736138,0.023609,67.535295
28.5905021,-59.7457034,87975a041-000096,11.731,0.019,10,58075.46203331,0.024005,9.107725
28.5904920,-59.7457154,11427r040-000097,11.691,0.020,10,58803.45973850,0.024201,216.738671
28.5904854,-59.7457106,22541r015-000088,11.789,0.021,10,59166.88168189,0.026618,265.336953
28.5905139,-59.7457130,60541b248-000072,11.711,0.019,10,57176.75451806,0.027491,113.188652
28.5904849,-59.7457105,87963a041-000081,11.772,0.023,10,58075.06932285,0.027491,266.239887
28.5905124,-59.7457147,33671r039-000083,11.710,0.021,10,59530.64029847,0.028170,126.953747
28.5905150,-59.7457128,33801r016-000207,11.743,0.023,10,59534.88714663,0.028996,110.329120
28.5904853,-59.7457133,60576a224-000067,11.705,0.019,10,57177.87012378,0.029159,245.984205
28.5905039,-59.7457179,94124a213-000085,11.717,0.022,10,58276.71018878,0.029320,166.032240
28.5905000,-59.7457016,56139r038-000130,11.736,0.024,10,60261.95712941,0.030271,0.000000
28.5905163,-59.7457077,49560a227-000076,11.740,0.021,10,56815.88090811,0.030736,74.354653
28.5905154,-59.7457139,39942r238-000080,11.746,0.020,10,59735.43155500,0.031193,116.685694
28.5905019,-59.7457187,71737b241-000077,11.710,0.024,10,57543.81655219,0.031495,173.720794
28.5904878,-59.7457037,55022b053-000071,11.737,0.019,10,56995.50974778,0.031644,315.705028
28.5904860,-59.7457154,87977a017-000071,11.668,0.021,10,58075.52748509,0.031942,232.564086
28.5904826,-59.7457084,55050a052-000085,11.743,0.019,10,56996.42989343,0.032089,280.343031
28.5904958,-59.7457013,87943a041-000078,11.744,0.021,10,58074.41467809,0.032236,346.329273
28.5905174,-59.7457081,60565b248-000087,11.715,0.020,10,57177.54197447,0.032236,77.771587
28.5905164,-59.7457136,82865b241-000521,11.720,0.019,10,57908.24779354,0.032382,113.541780
28.5904885,-59.7457029,65970a049-000080,11.726,0.024,10,57354.79367266,0.032961,320.782909
28.5905070,-59.7457014,06440r213-000078,11.724,0.019,10,58640.37158897,0.033529,22.298600
28.5904867,-59.7457167,94006a239-000074,11.755,0.022,10,58272.84892019,0.034088,225.004498
28.5904949,-59.7457192,51134r237-000090,11.769,0.022,10,60099.84993267,0.034364,195.605143
28.5904829,-59.7457054,22567r039-000103,11.877,0.020,10,59167.73178950,0.035179,298.098315
28.5905158,-59.7457157,66006a050-000089,11.747,0.019,10,57355.97409911,0.035313,125.603501
28.5905084,-59.7457005,65966a050-000073,11.749,0.023,10,57354.66264153,0.037392,24.012952
28.5905216,-59.7457104,82868a217-000104,11.702,0.019,10,57908.31324517,0.039241,92.104960
28.5905204,-59.7457057,87985a017-000111,11.758,0.021,10,58075.78941939,0.040075,67.297684
28.5904887,-59.7457004,49557b252-000072,11.727,0.020,10,56815.81507457,0.040192,329.329504
28.5905181,-59.7457165,06428r213-000086,11.748,0.019,10,58639.97913392,0.040310,125.479761
28.5905112,-59.7457197,65993a025-000074,11.749,0.020,10,57355.51504441,0.040427,149.811225
28.5904863,-59.7457011,17572r213-000073,11.746,0.024,10,59004.43498111,0.040543,322.203842
28.5904915,-59.7457205,66002a050-000143,11.740,0.019,10,57355.84294060,0.040776,202.189037
28.5905164,-59.7457181,44957r015-000111,11.715,0.020,10,59898.92938795,0.041692,134.429437
28.5905182,-59.7457027,65989a025-000086,11.743,0.021,10,57355.38388590,0.042143,51.477205
28.5905193,-59.7457034,65994a049-000096,11.748,0.019,10,57355.58062363,0.042255,55.834212
