ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
85.7772358,-2.7132469,0.0407,0.0396,0.0094,10.582,0.020,53.5,2.854E+00,10.552,0.021,52.6,1.525E+00,1,0,0000,AA,10,57648.69664884,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.084510,349.706459
85.7772148,-2.7132628,0.0423,0.0428,-0.0123,10.634,0.021,52.0,2.814E+00,10.524,0.024,45.4,1.717E+00,1,0,0000,AA,10,59842.00602331,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.094234,285.962380
85.7772179,-2.7132481,0.0390,0.0408,-0.0099,10.597,0.019,56.5,2.222E+00,10.578,0.022,48.7,1.759E+00,1,0,0000,AA,10,59110.69245509,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.111965,314.771699
85.7772345,-2.7132393,0.0363,0.0370,-0.0016,10.704,0.018,59.4,1.102E+00,10.633,0.023,46.6,7.192E-01,1,0,0000,AA,10,57812.79686060,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.112260,349.854184
85.7772384,-2.7132388,0.0379,0.0344,-0.0143,10.664,0.017,63.6,3.256E+00,10.631,0.022,50.1,1.361E+00,1,0,0000,AA,5,59838.94087451,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.112470,357.067612
85.7772652,-2.7132513,0.0382,0.0375,-0.0129,10.755,0.018,59.8,1.322E+00,10.690,0.027,40.1,1.163E+00,1,0,0000,AA,10,57284.07538918,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.112889,53.391479
85.7772415,-2.7132382,0.0470,0.0619,-0.0237,10.803,0.030,35.7,1.570E+00,10.735,0.025,43.4,7.577E-01,1,0,0000,AA,5,59839.07126841,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.114592,2.697606
85.7772316,-2.7132380,0.0379,0.0397,-0.0022,10.591,0.020,54.4,4.598E+00,10.622,0.022,49.9,1.362E+00,1,0,0000,AA,5,58743.98060963,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.119079,345.307471
85.7772407,-2.7132364,0.0351,0.0322,-0.0129,10.608,0.017,63.9,8.578E-01,10.621,0.020,54.3,1.439E+00,1,0,0000,AA,10,57448.81462532,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.120968,1.192152
85.7772311,-2.7132368,0.0358,0.0308,-0.0153,10.620,0.015,70.8,9.480E-01,10.582,0.019,57.6,4.661E-01,1,0,0000,AA,10,57089.86019733,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.123748,345.009485
85.7772505,-2.7132369,0.0374,0.0349,-0.0106,10.763,0.017,65.1,8.815E-01,10.739,0.024,46.0,8.741E-01,1,0,0000,AA,10,58015.08675970,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.125001,17.581582
85.7772748,-2.7132673,0.0424,0.0483,-0.0033,10.660,0.021,50.6,3.727E+01,10.649,0.023,48.2,9.497E+00,1,0,0000,AA,0,59268.55943846,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.125529,85.558567
85.7772215,-2.7132400,0.0369,0.0367,0.0084,10.546,0.022,50.2,1.298E+00,10.602,0.019,55.8,1.422E+00,1,0,0000,AA,10,59110.56116995,862003101351024779,10.621,0.023,10.578,0.021,10.890,0.247,8.552,null,147242849,11.329,0.0233,10.923,0.0239,10.704,0.0254,0.126839,328.367954
