ra,dec,source_id,w1mpro,w1sigmpro,qual_frame,mjd,dist,angle
29.3083859,-61.5938557,06334r240-000162,12.703,0.025,10,58636.90494443,0.017113,335.601331
29.3083876,-61.5938546,60509b250-000144,12.551,0.031,10,57175.70487273,0.019919,348.061745
29.3083803,-61.5938631,51076r214-000133,12.581,0.030,10,60097.96800573,0.019919,236.106792
29.3084018,-61.5938629,82792a216-000145,12.607,0.027,10,57905.82557203,0.022794,117.321505
29.3084032,-61.5938576,49497b250-000152,12.584,0.032,10,56813.84134083,0.024201,69.083299
29.3083837,-61.5938539,17520r216-000174,12.777,0.029,10,59002.73514799,0.024396,333.834379
29.3083818,-61.5938658,17478r240-000157,12.749,0.028,10,59001.36180900,0.025158,213.923488
29.3083924,-61.5938528,06376r216-000197,12.709,0.028,10,58638.27866456,0.026261,9.010531
29.3083847,-61.5938531,60509b251-000145,12.535,0.028,10,57175.70500005,0.026440,339.927341
29.3083811,-61.5938537,54990a051-000151,12.585,0.027,10,56994.45793448,0.027319,326.097048
29.3083848,-61.5938672,93906a241-000166,12.792,0.028,10,58269.57735566,0.027491,198.961408
29.3083757,-61.5938563,51054r240-000187,12.631,0.027,10,60097.25414881,0.027832,298.541574
29.3083931,-61.5938683,93916a216-000158,12.736,0.026,10,58269.90448660,0.030271,169.924947
29.3083983,-61.5938679,51070r239-000156,12.624,0.027,10,60097.77330543,0.031793,153.443872
29.3083886,-61.5938504,17506r241-000151,12.685,0.026,10,59002.27736856,0.034638,356.031428
29.3084014,-61.5938685,51048r215-000139,12.638,0.026,10,60097.05944922,0.036237,147.461220
29.3083698,-61.5938631,39900r215-000149,12.662,0.029,10,59734.06165435,0.036367,252.120446
29.3083697,-61.5938638,17476r216-000157,12.714,0.028,10,59001.29648466,0.037392,248.520676
29.3084091,-61.5938546,76890a043-000152,12.627,0.025,10,57712.58129449,0.038018,59.276725
29.3084108,-61.5938642,98909a013-000218,12.708,0.027,10,58433.24455314,0.038756,112.999252
29.3083816,-61.5938498,39896r215-000145,12.660,0.027,10,59733.93113306,0.039481,338.606329
29.3083671,-61.5938627,87889a014-000161,12.623,0.027,10,58072.64684377,0.040427,256.080072
29.3083960,-61.5938485,17486r241-000145,12.675,0.027,10,59001.62348880,0.042700,13.939193
29.3084076,-61.5938687,98895a037-000162,12.744,0.032,10,58432.78651859,0.043467,136.098480
29.3083863,-61.5938722,60477b250-000140,12.613,0.025,10,57174.65497763,0.044328,188.209711
29.3083734,-61.5938697,44847r038-000135,12.587,0.028,10,59895.34520565,0.045068,219.149580
29.3083853,-61.5938725,11341r013-000192,12.664,0.032,10,58800.64658691,0.045692,190.141253
29.3083893,-61.5938730,55001a027-000221,12.600,0.028,10,56994.78659431,0.046815,181.467345
29.3084168,-61.5938643,65929a023-000158,12.637,0.024,10,57353.41638123,0.048403,108.637957
29.3084139,-61.5938522,82821b248-000148,12.580,0.027,10,57906.80772935,0.049655,55.548502
29.3084138,-61.5938691,39846r239-000145,12.646,0.028,10,59732.29980713,0.052251,128.790172
29.3084213,-61.5938588,49501b249-000126,12.657,0.027,10,56813.97300806,0.053766,85.392444
29.3083666,-61.5938701,11327r037-000199,12.750,0.029,10,58800.18867994,0.054116,227.782226
29.3084155,-61.5938509,33645r013-000246,12.674,0.026,10,59529.79057248,0.054551,53.124422
29.3084211,-61.5938550,28722r240-000159,12.650,0.026,10,59368.94579358,0.056256,71.327047
29.3083573,-61.5938583,39850r239-000146,12.699,0.026,10,59732.43032837,0.056340,276.236670
29.3083975,-61.5938446,87925a015-000214,12.631,0.026,10,58073.82522981,0.056924,13.044216
29.3083880,-61.5938762,54962a051-000155,12.545,0.028,10,56993.53766095,0.058398,183.361157
29.3083601,-61.5938683,54993a027-000142,12.556,0.024,10,56994.52364094,0.059281,239.735502
29.3083884,-61.5938427,93942a241-000189,12.661,0.029,10,58270.75523074,0.062311,357.480776
29.3083553,-61.5938656,06338r240-000156,12.722,0.025,10,58637.03572044,0.062764,251.260932
29.3084262,-61.5938647,56087r035-000168,12.632,0.025,10,60260.27563160,0.064252,105.265544
29.3083699,-61.5938753,51064r214-000127,12.577,0.026,10,60097.57860580,0.064983,212.003863
29.3083894,-61.5938781,51056r214-000171,12.567,0.028,10,60097.31896383,0.065201,180.903460
29.3084234,-61.5938510,33629r013-000249,12.682,0.026,10,59529.26772293,0.065706,60.471514
29.3083770,-61.5938772,06350r239-000150,12.748,0.032,10,58637.42817544,0.065778,199.776274
29.3084262,-61.5938526,11329r014-000257,12.659,0.031,10,58800.25413159,0.067479,66.746449
29.3084234,-61.5938702,60720a221-000203,12.612,0.026,10,57182.59486295,0.067967,122.698602
29.3083705,-61.5938772,82786a242-000185,12.651,0.026,10,57905.62921639,0.070358,208.339390
29.3084235,-61.5938718,93950a241-000162,12.734,0.032,10,58271.01691007,0.071358,126.517578
29.3083878,-61.5938800,60477b251-000141,12.643,0.027,10,57174.65510494,0.072082,182.995499
29.3083727,-61.5938783,87907a038-000249,12.682,0.026,10,58073.23603679,0.072213,204.214528
29.3083529,-61.5938501,11333r014-000170,12.638,0.028,10,58800.38503492,0.072864,299.289501
29.3083544,-61.5938482,60512a226-000130,12.567,0.025,10,57175.77057899,0.074277,304.867145
29.3084219,-61.5938746,44853r013-000143,12.607,0.029,10,59895.54066942,0.075787,133.892900
29.3083547,-61.5938472,76850a043-000168,12.583,0.030,10,57711.27123961,0.076036,307.315665
29.3083513,-61.5938705,56109r010-000565,12.631,0.030,10,60260.98643243,0.076284,240.302450
29.3084169,-61.5938423,17510r241-000141,12.729,0.028,10,59002.40814451,0.078602,35.866368
29.3083527,-61.5938469,87913a014-000152,12.641,0.026,10,58073.43239200,0.079379,306.437142
29.3083860,-61.5938379,39890r240-000251,12.658,0.028,10,59733.73541473,0.079854,355.078802
29.3083449,-61.5938657,76901a019-000223,12.559,0.026,10,57712.90880818,0.079913,255.121699
29.3083950,-61.5938377,06344r216-000201,12.731,0.029,10,58637.23207525,0.080736,6.088344
29.3084000,-61.5938380,51034r240-000139,12.688,0.026,10,60096.60510752,0.081028,12.201542
29.3083652,-61.5938403,54986a050-000146,12.677,0.026,10,56994.32639414,0.082645,329.083685
29.3084368,-61.5938530,54989a026-000143,12.593,0.026,10,56994.39210060,0.084005,72.546134
