ra,dec,source_id,w1mpro,w1sigmpro,qual_frame,mjd,dist,angle
31.4023563,-61.0567357,49556a230-000462,14.290,0.093,10,56815.74962297,0.016835,337.392357
31.4023533,-61.0567355,60549b251-000472,14.167,0.073,10,57177.01734316,0.019919,324.225823
31.4023486,-61.0567350,49557b255-000394,14.080,0.057,10,56815.81545656,0.026795,312.185926
31.4023654,-61.0567480,60725b247-000403,14.200,0.069,10,57182.79172760,0.030271,161.909773
31.4023783,-61.0567372,22559r036-000403,14.042,0.048,10,59167.46985551,0.033388,72.454926
31.4023785,-61.0567352,87949a013-000443,14.201,0.055,10,58074.61065130,0.036626,61.802643
31.4023442,-61.0567291,56147r034-000471,14.140,0.054,10,60262.21524914,0.047912,324.950493
31.4023527,-61.0567248,39924r216-000426,14.050,0.048,10,59734.84465491,0.056172,346.915604
31.4023934,-61.0567402,60565b251-000406,14.152,0.054,10,57177.54235646,0.058155,90.708922
31.4023549,-61.0567238,60569b251-000400,14.077,0.052,10,57177.67351433,0.058962,351.337453
31.4023945,-61.0567376,49525b255-000379,14.069,0.057,10,56814.76262887,0.060698,81.819974
31.4023791,-61.0567255,93988a217-000571,14.095,0.055,10,58272.26036469,0.061931,32.516306
31.4023960,-61.0567405,98955a036-000488,14.183,0.069,10,58434.74943339,0.062764,91.643920
31.4023242,-61.0567443,39930r240-000418,14.011,0.046,10,59735.04037323,0.064252,256.061179
31.4023981,-61.0567445,22561r012-000395,14.164,0.052,10,59167.53530721,0.068314,103.715392
31.4023605,-61.0567602,56137r010-000809,13.921,0.049,10,60261.89205969,0.072734,179.313699
31.4023205,-61.0567311,39942r240-000345,14.073,0.061,10,59735.43180968,0.075912,294.965935
31.4023219,-61.0567525,11401r013-000462,14.164,0.053,10,58802.60899345,0.080208,235.865103
31.4023906,-61.0567574,55046a050-000408,14.058,0.048,10,56996.29809841,0.082244,139.599825
31.4023504,-61.0567174,49564a230-000399,14.100,0.054,10,56816.01282998,0.083044,348.383593
31.4023414,-61.0567615,06422r240-000430,14.211,0.066,10,58639.78316102,0.083893,202.717446
31.4023250,-61.0567560,87953a013-000419,13.868,0.074,10,58074.74155481,0.083893,226.631214
31.4023854,-61.0567195,65981a023-000708,14.128,0.066,10,57355.12131427,0.086060,30.947658
31.4024133,-61.0567400,66005a022-001045,14.102,0.051,10,57355.90813788,0.092871,90.000023
31.4023070,-61.0567492,93998a242-000408,14.133,0.056,10,58272.58749558,0.098114,250.267645
31.4023064,-61.0567313,82849b245-000559,14.300,0.072,10,57907.72443472,0.098499,288.541307
31.4023377,-61.0567666,56153r010-000406,14.185,0.058,10,60262.40918494,0.103320,202.082958
31.4024120,-61.0567257,55053a026-000370,14.132,0.054,10,56996.49534525,0.104185,60.392692
31.4024162,-61.0567507,94006a241-000503,14.223,0.063,10,58272.84917486,0.105223,111.475543
31.4024073,-61.0567585,60544a227-000527,14.285,0.077,10,57176.82060634,0.105938,128.944999
31.4023171,-61.0567191,71761b244-000612,14.111,0.055,10,57544.60311809,0.106072,315.190908
31.4023053,-61.0567264,39936r215-000889,14.163,0.055,10,59735.23609150,0.107135,297.192088
31.4023040,-61.0567231,76946a041-000398,14.097,0.050,10,57714.41534635,0.114962,301.947523
31.4022935,-61.0567382,54870b045-000399,14.170,0.054,10,56990.51388889,0.116025,273.201274
31.4022955,-61.0567273,44949r012-000405,14.090,0.064,10,59898.66834510,0.121319,292.139620
31.4022908,-61.0567349,87943a038-000461,14.123,0.055,10,58074.41429610,0.121940,278.658977
31.4022885,-61.0567380,06398r241-000455,14.181,0.069,10,58638.99825042,0.124774,273.307997
31.4022974,-61.0567209,76958a040-000451,14.026,0.049,10,57714.80831185,0.128944,302.230177
31.4023719,-61.0567774,98963a036-000407,14.064,0.049,10,58435.01124372,0.136212,171.246248
31.4022927,-61.0567605,56173r010-000538,14.178,0.054,10,60263.05555315,0.138550,237.812603
31.4023234,-61.0567743,17560r217-000471,14.161,0.053,10,59004.04303478,0.138959,207.311542
31.4022898,-61.0567187,71753b245-000404,14.113,0.063,10,57544.34105677,0.144360,302.086516
31.4024281,-61.0567161,06418r241-000390,14.078,0.054,10,58639.65238515,0.146568,54.050508
31.4023348,-61.0567794,87967a038-001423,14.042,0.049,10,58075.19984433,0.148489,197.198695
31.4023093,-61.0567733,22537r012-000474,13.957,0.068,10,59166.75052387,0.148902,216.383290
31.4024070,-61.0567747,44957r012-000764,14.048,0.049,10,59898.92900591,0.149378,146.755791
31.4024210,-61.0567108,55038a050-000350,14.121,0.051,10,56996.03527241,0.149472,45.312797
31.4023727,-61.0566989,76953a016-000435,14.105,0.051,10,57714.61182909,0.149599,8.504979
31.4022851,-61.0567640,71745b245-000382,14.121,0.062,10,57544.07899556,0.156512,236.490722
31.4023290,-61.0567817,87935a038-001280,14.114,0.050,10,58074.15248916,0.159531,199.786979
31.4024350,-61.0567145,51152r215-000366,14.020,0.047,10,60100.43441434,0.159679,54.909635
31.4024218,-61.0567067,44941r012-000432,14.224,0.061,10,59898.40768429,0.161122,41.927970
31.4024269,-61.0567724,71769b246-000425,14.048,0.055,10,57544.86530672,0.164889,135.021447
31.4023861,-61.0567849,82876a219-000409,14.215,0.057,10,57908.57543444,0.167926,164.288081
31.4023582,-61.0566932,06406r241-000518,14.129,0.051,10,58639.25993016,0.168515,358.933664
31.4022625,-61.0567390,33771r037-001127,14.143,0.058,10,59533.90664410,0.169911,271.214069
31.4023198,-61.0566954,60544a226-000363,13.982,0.046,10,57176.82047903,0.175167,336.433139
31.4023472,-61.0567886,11391r036-000538,14.229,0.065,10,58802.28186242,0.176377,187.263647
31.4023491,-61.0567888,28772r215-000362,14.147,0.058,10,59370.57979262,0.176698,186.169360
31.4024342,-61.0567043,65997a022-000415,14.206,0.057,10,57355.64582091,0.182277,45.166945
31.4023573,-61.0567908,82853b245-000431,14.078,0.052,10,57907.85533813,0.182949,181.473400
31.4023645,-61.0567917,76934a040-000476,14.127,0.060,10,57714.02225350,0.186275,177.587976
31.4024601,-61.0567211,99005a012-000438,14.133,0.051,10,58436.38534807,0.187186,68.686731
31.4022638,-61.0567646,94036a217-000416,14.162,0.052,10,58273.83082226,0.189568,242.147824
31.4023652,-61.0566868,28762r240-000466,14.117,0.051,10,59370.25304375,0.191724,2.708232
31.4022537,-61.0567546,17578r242-000389,14.146,0.054,10,59004.63159072,0.192510,254.155566
31.4022516,-61.0567505,94110a240-000708,14.254,0.066,10,58276.25240657,0.192609,258.681501
31.4022701,-61.0567715,87981a014-000454,14.253,0.059,10,58075.65813388,0.193367,234.094289
31.4024130,-61.0566928,28792r216-000491,14.228,0.058,10,59371.23341837,0.193392,28.520178
31.4022789,-61.0567769,11421r013-000644,14.096,0.052,10,58803.26312876,0.193928,226.765938
31.4022724,-61.0567060,60724a223-000430,14.091,0.058,10,57182.72614867,0.195626,308.729947
