ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
85.0161817,-1.3286954,0.0232,0.0265,-0.0079,7.751,0.016,68.4,4.865E+01,7.774,0.014,80.1,5.535E+01,1,0,0000,AA,0,59838.09293205,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.118083,41.408318
85.0161779,-1.3286846,0.0251,0.0239,-0.0031,8.097,0.014,78.2,1.061E+00,8.079,0.013,85.5,9.167E-01,1,0,0000,AA,10,60205.13270424,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.142814,26.817226
85.0161950,-1.3286947,0.0247,0.0226,-0.0081,7.758,0.015,73.6,2.626E+00,7.782,0.012,90.5,2.256E+00,1,0,0000,AA,5,59474.22656436,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.155452,54.131131
85.0161900,-1.3286884,0.0248,0.0237,-0.0054,7.823,0.018,61.3,1.296E+00,7.794,0.013,85.5,4.167E+00,1,0,0000,AA,5,60205.39183665,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.156843,43.504439
85.0161967,-1.3286912,0.0287,0.0271,-0.0132,7.765,0.019,56.9,8.231E+00,7.785,0.014,78.1,5.559E+00,1,0,0000,AA,5,59474.16124010,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.167926,51.869781
85.0161789,-1.3286762,0.0274,0.0247,0.0022,7.745,0.018,59.4,1.705E+00,7.852,0.013,80.6,3.381E+00,1,0,0000,AA,5,59841.67978381,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.171736,23.334924
85.0161870,-1.3286795,0.0262,0.0244,-0.0097,7.963,0.016,68.8,9.519E-01,7.956,0.012,90.1,1.587E+00,1,0,0000,AA,10,59840.96248992,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.175221,33.682957
85.0161836,-1.3286763,0.0269,0.0256,-0.0098,7.756,0.015,72.0,3.936E+00,7.757,0.014,80.2,1.277E+00,1,0,0000,AA,10,59837.96241083,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.178797,28.364635
85.0161991,-1.3286889,0.0272,0.0250,-0.0082,7.785,0.019,58.0,3.537E+00,7.795,0.013,85.3,2.988E+00,1,0,0000,AA,10,60205.45652421,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.179824,51.493880
85.0161900,-1.3286793,0.0273,0.0242,-0.0050,7.735,0.017,65.5,1.381E+00,7.775,0.014,76.8,2.342E+00,1,0,0000,AA,10,60205.58615458,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.182017,36.386596
85.0162019,-1.3286906,0.0256,0.0240,-0.0109,7.794,0.014,76.6,1.664E+01,7.746,0.012,92.8,9.769E+00,1,0,0000,AA,0,59267.97126411,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.184236,54.936544
85.0161885,-1.3286774,0.0322,0.0268,-0.0099,7.842,0.015,70.6,3.143E+00,7.772,0.015,71.3,1.528E+00,1,0,0000,AA,10,58378.78442523,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.184492,33.775960
85.0162042,-1.3286912,0.0247,0.0234,-0.0105,7.803,0.016,67.2,1.236E+00,7.818,0.012,88.6,1.899E+00,1,0,0000,AA,10,59996.09907713,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.189892,56.905342
85.0162016,-1.3286866,0.0266,0.0222,0.0051,7.911,0.015,74.6,5.975E+00,7.771,0.013,86.1,2.980E+00,1,0,0000,AA,10,58378.91532863,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.192019,51.232034
85.0162028,-1.3286881,0.0273,0.0233,-0.0117,7.785,0.014,78.6,5.263E+00,7.753,0.013,86.6,2.702E+00,1,0,0000,AA,5,59473.96513999,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.192142,53.294456
85.0161600,-1.3286659,0.0257,0.0218,-0.0074,7.752,0.016,66.6,1.878E+01,7.748,0.013,86.6,5.074E+00,1,0,0000,AA,10,58014.30095684,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.194755,0.000000
85.0161976,-1.3286803,0.0266,0.0216,-0.0061,7.837,0.014,76.4,5.481E+00,7.822,0.012,90.0,2.622E+00,1,0,0000,AA,5,59840.70170207,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.196829,43.436143
85.0162073,-1.3286922,0.0265,0.0253,-0.0067,7.920,0.017,62.4,2.371E+00,7.922,0.013,81.1,2.746E+00,1,0,0000,AA,10,60205.26233407,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.197476,59.548904
85.0161945,-1.3286748,0.0260,0.0224,-0.0047,7.915,0.015,72.4,9.921E-01,7.927,0.013,86.0,1.922E+00,1,0,0000,AA,10,59996.22921683,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.204688,37.346135
85.0162150,-1.3287037,0.0233,0.0242,-0.0084,7.831,0.020,54.8,3.723E+00,7.765,0.011,95.2,1.433E+00,1,0,0000,AA,10,59631.38800093,847001601351030178,7.863,0.028,7.855,0.020,7.840,0.024,7.381,0.148,108097748,8.524,0.0203,8.059,0.0398,7.906,0.0325,0.206457,73.487894
