ra,dec,source_id,w1mpro,w1sigmpro,qual_frame,mjd,dist,angle
1.5348243,-59.0875117,17092r197-000376,14.134,0.054,10,58988.73944081,0.012294,239.862634
1.5348381,-59.0875086,65437a040-000290,13.905,0.049,10,57337.28617734,0.015672,71.404929
1.5348270,-59.0875155,54521a042-000373,14.171,0.053,10,56979.01231688,0.020618,195.653689
1.5348156,-59.0875042,54482a067-000622,14.082,0.051,10,56977.76338522,0.033809,308.097460
1.5348480,-59.0875122,82388a198-000348,14.154,0.056,10,57892.59821572,0.034226,103.382580
1.5348374,-59.0875193,82296a201-000330,13.927,0.072,10,57889.58654635,0.036106,157.766585
1.5348333,-59.0875203,60057b230-000334,14.044,0.048,10,57160.87244250,0.037518,170.653345
1.5348513,-59.0875140,50660r196-000542,14.380,0.061,10,60084.46495891,0.041918,110.079900
1.5348167,-59.0875220,65426a064-000436,14.098,0.056,10,57336.95828127,0.049750,209.656406
1.5348409,-59.0875228,28244r197-000323,13.948,0.049,10,59353.32296481,0.050317,156.371990
1.5348573,-59.0875087,54513a042-000944,14.173,0.057,10,56978.74936377,0.050691,84.704223
1.5348592,-59.0875053,60092a205-000338,13.982,0.052,10,57161.98804961,0.056591,72.603445
1.5348207,-59.0874949,28202r222-000340,13.935,0.055,10,59351.95038949,0.057007,342.442507
1.5348045,-59.0875206,82392a198-000382,13.918,0.048,10,57892.72911913,0.060698,231.021728
1.5348538,-59.0875230,28236r197-000377,14.022,0.050,10,59353.06154025,0.064252,136.755734
1.5348638,-59.0875152,10839r055-000523,14.441,0.072,10,58784.23005441,0.065273,106.671391
1.5348217,-59.0875277,93498a221-000789,14.299,0.077,10,58256.22635728,0.065562,193.544519
1.5348493,-59.0874946,49068a208-000354,13.967,0.048,10,56799.69234142,0.065921,32.774596
1.5348650,-59.0875055,82309b226-000317,13.884,0.058,10,57890.04483549,0.066705,75.949145
1.5348658,-59.0875039,49053b233-000384,14.138,0.054,10,56799.23176539,0.069751,71.650601
1.5348661,-59.0875044,05850r222-000455,14.387,0.067,10,58621.07214175,0.069751,73.197877
1.5348604,-59.0874982,71184a203-000538,14.204,0.062,10,57525.66581532,0.070492,52.926403
1.5348536,-59.0874940,17090r221-000352,14.187,0.054,10,58988.67398918,0.072278,37.153018
1.5348692,-59.0875078,50622r220-000625,14.333,0.059,10,60083.23143620,0.072929,83.765441
1.5348557,-59.0875255,82416a198-000308,14.035,0.055,10,57893.51479384,0.073316,139.575838
1.5347938,-59.0875009,71180a203-000388,14.176,0.054,10,57525.53478458,0.074530,296.073741
1.5348018,-59.0874947,82328a200-000318,13.992,0.057,10,57890.63402852,0.075850,316.563140
1.5348659,-59.0874986,71173b227-000358,14.246,0.057,10,57525.33817480,0.078059,58.278736
1.5348247,-59.0874882,60077b229-000322,13.976,0.047,10,57161.52861450,0.079081,352.880776
1.5347858,-59.0875107,71189b228-000391,14.257,0.063,10,57525.86242516,0.081783,268.234238
1.5348525,-59.0875299,65438a064-000336,14.074,0.053,10,57337.35175659,0.082873,149.849916
1.5347856,-59.0874950,82386a223-000303,13.943,0.049,10,57892.53276405,0.098259,303.329683
1.5348670,-59.0875320,44385r031-000411,14.038,0.065,10,59880.29283497,0.104683,139.173089
1.5348870,-59.0875137,28222r221-000308,13.941,0.051,10,59352.60388736,0.106250,97.201485
1.5348817,-59.0874938,60084a205-000356,14.151,0.055,10,57161.72547885,0.112007,58.619115
1.5347726,-59.0875237,82289b225-000336,13.929,0.047,10,57889.39006400,0.117039,245.080592
1.5348323,-59.0874768,98523a056-000517,14.441,0.065,10,58420.61682971,0.119594,2.038276
1.5348882,-59.0874935,44389r031-000346,14.139,0.054,10,59880.42322892,0.122943,61.107562
1.5348499,-59.0875427,17096r197-000430,14.287,0.061,10,58988.87021676,0.123327,162.638900
1.5348566,-59.0874781,60100a205-000666,14.039,0.049,10,57162.25049291,0.124925,23.189118
1.5348512,-59.0875431,05842r223-000516,14.233,0.052,10,58620.81058975,0.125453,161.787032
1.5347722,-59.0875284,39388r197-000324,14.111,0.052,10,59717.35441324,0.125754,238.214950
1.5347618,-59.0875150,28214r221-000361,14.119,0.051,10,59352.34246275,0.127396,261.878172
